# time, signal
8.330000000000000598e-03,-4.000000000000000000e+00
1.667000000000000079e-02,2.000000000000000000e+00
2.500000000000000139e-02,5.000000000000000000e+00
3.332999999999999852e-02,2.000000000000000000e+00
4.166999999999999871e-02,4.000000000000000000e+00
5.000000000000000278e-02,6.000000000000000000e+00
5.832999999999999990e-02,5.000000000000000000e+00
6.666999999999999316e-02,5.000000000000000000e+00
7.499999999999999722e-02,6.000000000000000000e+00
8.333000000000000129e-02,8.000000000000000000e+00
9.167000000000000148e-02,1.300000000000000000e+01
1.000000000000000056e-01,1.700000000000000000e+01
1.083299999999999957e-01,1.800000000000000000e+01
1.166699999999999959e-01,1.600000000000000000e+01
1.250000000000000000e-01,1.400000000000000000e+01
1.333300000000000041e-01,1.100000000000000000e+01
1.416699999999999904e-01,1.100000000000000000e+01
1.499999999999999944e-01,1.400000000000000000e+01
1.583299999999999985e-01,2.000000000000000000e+01
1.666700000000000126e-01,2.700000000000000000e+01
1.749999999999999889e-01,3.500000000000000000e+01
1.833299999999999930e-01,4.200000000000000000e+01
1.916700000000000070e-01,4.900000000000000000e+01
2.000000000000000111e-01,5.600000000000000000e+01
2.083299999999999874e-01,6.400000000000000000e+01
2.166700000000000015e-01,7.300000000000000000e+01
2.250000000000000056e-01,8.200000000000000000e+01
2.333300000000000096e-01,9.000000000000000000e+01
2.416699999999999959e-01,9.900000000000000000e+01
2.500000000000000000e-01,1.110000000000000000e+02
2.583300000000000041e-01,1.240000000000000000e+02
2.666700000000000181e-01,1.420000000000000000e+02
2.750000000000000222e-01,1.630000000000000000e+02
2.833300000000000263e-01,1.860000000000000000e+02
2.916699999999999848e-01,2.110000000000000000e+02
2.999999999999999889e-01,2.390000000000000000e+02
3.083299999999999930e-01,2.710000000000000000e+02
3.166700000000000070e-01,3.060000000000000000e+02
3.250000000000000111e-01,3.420000000000000000e+02
3.333300000000000152e-01,3.790000000000000000e+02
3.416699999999999737e-01,4.160000000000000000e+02
3.499999999999999778e-01,4.540000000000000000e+02
3.583299999999999819e-01,4.930000000000000000e+02
3.666699999999999959e-01,5.340000000000000000e+02
3.750000000000000000e-01,5.790000000000000000e+02
3.833300000000000041e-01,6.230000000000000000e+02
3.916700000000000181e-01,6.690000000000000000e+02
4.000000000000000222e-01,7.130000000000000000e+02
4.083300000000000263e-01,7.570000000000000000e+02
4.166699999999999848e-01,8.000000000000000000e+02
4.249999999999999889e-01,8.420000000000000000e+02
4.333299999999999930e-01,8.830000000000000000e+02
4.416700000000000070e-01,9.200000000000000000e+02
4.500000000000000111e-01,9.540000000000000000e+02
4.583300000000000152e-01,9.830000000000000000e+02
4.666699999999999737e-01,1.007000000000000000e+03
4.749999999999999778e-01,1.027000000000000000e+03
4.833299999999999819e-01,1.041000000000000000e+03
4.916699999999999959e-01,1.052000000000000000e+03
5.000000000000000000e-01,1.057000000000000000e+03
5.083299999999999486e-01,1.056000000000000000e+03
5.166699999999999626e-01,1.048000000000000000e+03
5.250000000000000222e-01,1.032000000000000000e+03
5.333299999999999708e-01,1.010000000000000000e+03
5.416699999999999848e-01,9.830000000000000000e+02
5.500000000000000444e-01,9.510000000000000000e+02
5.583299999999999930e-01,9.170000000000000000e+02
5.666700000000000070e-01,8.820000000000000000e+02
5.749999999999999556e-01,8.440000000000000000e+02
5.833300000000000152e-01,8.050000000000000000e+02
5.916700000000000292e-01,7.630000000000000000e+02
5.999999999999999778e-01,7.210000000000000000e+02
6.083300000000000374e-01,6.770000000000000000e+02
6.166700000000000514e-01,6.320000000000000000e+02
6.250000000000000000e-01,5.880000000000000000e+02
6.333299999999999486e-01,5.430000000000000000e+02
6.416699999999999626e-01,4.990000000000000000e+02
6.500000000000000222e-01,4.550000000000000000e+02
6.583299999999999708e-01,4.130000000000000000e+02
6.666699999999999848e-01,3.750000000000000000e+02
6.750000000000000444e-01,3.400000000000000000e+02
6.833299999999999930e-01,3.090000000000000000e+02
6.916700000000000070e-01,2.810000000000000000e+02
6.999999999999999556e-01,2.550000000000000000e+02
7.083300000000000152e-01,2.300000000000000000e+02
7.166700000000000292e-01,2.050000000000000000e+02
7.249999999999999778e-01,1.820000000000000000e+02
7.333300000000000374e-01,1.610000000000000000e+02
7.416700000000000514e-01,1.400000000000000000e+02
7.500000000000000000e-01,1.200000000000000000e+02
7.583299999999999486e-01,1.010000000000000000e+02
7.666699999999999626e-01,8.100000000000000000e+01
7.750000000000000222e-01,6.200000000000000000e+01
7.833299999999999708e-01,4.600000000000000000e+01
7.916699999999999848e-01,3.400000000000000000e+01
8.000000000000000444e-01,2.600000000000000000e+01
8.083299999999999930e-01,2.100000000000000000e+01
8.166700000000000070e-01,2.000000000000000000e+01
8.249999999999999556e-01,1.900000000000000000e+01
8.333300000000000152e-01,1.900000000000000000e+01
8.416700000000000292e-01,1.900000000000000000e+01
8.499999999999999778e-01,1.800000000000000000e+01
8.583300000000000374e-01,1.500000000000000000e+01
8.666700000000000514e-01,1.000000000000000000e+01
8.750000000000000000e-01,4.000000000000000000e+00
8.833299999999999486e-01,-1.000000000000000000e+00
8.916699999999999626e-01,-4.000000000000000000e+00
9.000000000000000222e-01,-4.000000000000000000e+00
9.083299999999999708e-01,-4.000000000000000000e+00
9.166699999999999848e-01,-2.000000000000000000e+00
9.250000000000000444e-01,-0.000000000000000000e+00
9.333299999999999930e-01,1.000000000000000000e+00
9.416700000000000070e-01,2.000000000000000000e+00
9.499999999999999556e-01,2.000000000000000000e+00
9.583300000000000152e-01,1.000000000000000000e+00
9.666700000000000292e-01,-2.000000000000000000e+00
9.749999999999999778e-01,-4.000000000000000000e+00
9.833300000000000374e-01,-5.000000000000000000e+00
9.916700000000000514e-01,-4.000000000000000000e+00
1.000000000000000000e+00,-1.000000000000000000e+00
1.008329999999999949e+00,2.000000000000000000e+00
1.016669999999999963e+00,5.000000000000000000e+00
1.024999999999999911e+00,5.000000000000000000e+00
1.033330000000000082e+00,4.000000000000000000e+00
1.041670000000000096e+00,1.000000000000000000e+00
1.050000000000000044e+00,-1.000000000000000000e+00
1.058329999999999993e+00,-3.000000000000000000e+00
1.066670000000000007e+00,-4.000000000000000000e+00
1.074999999999999956e+00,-4.000000000000000000e+00
1.083329999999999904e+00,-3.000000000000000000e+00
1.091669999999999918e+00,-2.000000000000000000e+00
1.100000000000000089e+00,-1.000000000000000000e+00
1.108330000000000037e+00,-0.000000000000000000e+00
1.116670000000000051e+00,-0.000000000000000000e+00
1.125000000000000000e+00,-1.000000000000000000e+00
1.133329999999999949e+00,-2.000000000000000000e+00
1.141669999999999963e+00,-2.000000000000000000e+00
1.149999999999999911e+00,-0.000000000000000000e+00
1.158330000000000082e+00,4.000000000000000000e+00
1.166670000000000096e+00,8.000000000000000000e+00
1.175000000000000044e+00,1.300000000000000000e+01
1.183329999999999993e+00,1.600000000000000000e+01
1.191670000000000007e+00,1.600000000000000000e+01
1.199999999999999956e+00,1.500000000000000000e+01
1.208329999999999904e+00,1.400000000000000000e+01
1.216669999999999918e+00,1.300000000000000000e+01
1.225000000000000089e+00,1.100000000000000000e+01
1.233330000000000037e+00,9.000000000000000000e+00
1.241670000000000051e+00,7.000000000000000000e+00
1.250000000000000000e+00,4.000000000000000000e+00
1.258329999999999949e+00,1.000000000000000000e+00
1.266669999999999963e+00,-0.000000000000000000e+00
1.274999999999999911e+00,1.000000000000000000e+00
1.283330000000000082e+00,5.000000000000000000e+00
1.291670000000000096e+00,9.000000000000000000e+00
1.300000000000000044e+00,1.300000000000000000e+01
1.308329999999999993e+00,1.300000000000000000e+01
1.316670000000000007e+00,1.100000000000000000e+01
1.324999999999999956e+00,7.000000000000000000e+00
1.333329999999999904e+00,3.000000000000000000e+00
