,C=O/ M,O=CO/ M,O=CCO/ M,O=C(CO)CO/ M,O=C[C@H](O)CO/ M,OCC(O)CO/ M,OC[C@H](O)[C@H](O)CO/ M,OC[C@@H](O)[C@H](O)CO/ M,O=CC(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)CO/ M,OC1COC(O)CO1/ M,O=C[C@@H](O)[C@H](O)CO/ M,O=C(CO)C(O)(CO)CO/ M,O=C([C@H](O)CO)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)C(O)(CO)CO/ M,O=C[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)C(O)[C@@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@@H](O)[C@H](O)CO/ M,CCCCCCCCCCCC/ M,O=C(CO)[C@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@@](O)(CO)[C@H](O)CO/ M,O=C(CO)[C@H](O)C(O)(CO)CO/ M,O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO/ M,O=C([C@H](O)CO)[C@H](O)[C@H](O)CO/ M,O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO/ M,O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO/ M,O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO/ M,O=C([C@H](O)CO)C(O)(CO)CO/ M,O=C[C@@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@@H](O)[C@H](O)CO/ M,O=C[C@@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@](O)(CO)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@@H](O)[C@](O)(CO)[C@H](O)CO/ M,O=C[C@@H](O)[C@@](O)(CO)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)C(O)(CO)CO/ M,O=C[C@@H](O)[C@@H](O)C(O)(CO)CO/ M,O=C[C@@](O)(CO)C(O)(CO)CO/ M,O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO/ M,O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO/ M,O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,O=C[C@@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,OC(C(O)C(C(CO)O)O)CO/ M,OCC(O)C(O)C(O)C(O)CO/ M,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,CCCCCCCCCCCCCC/ M,O=CC(O)C(O)C(O)C(O)C(O)CO/ M,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CO/ M,OC(=O)C(C)=O/ M,O=CC(=O)O/ M,OO/ M,O/ M,[OH-]/ M,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O/ M,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O/ M,OC[C@H](O)[C@@](O)(CO)[C@H](O)CO/ M,OC[C@H](O)[C@](O)(CO)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO/ M,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,OC[C@@H](O)C(O)(CO)[C@H](O)CO/ M,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO/ M,OC[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,OC[C@H](O)[C@H](O)C(O)(CO)CO/ M,OC[C@@H](O)[C@H](O)C(O)(CO)CO/ M,OCC(O)(CO)C(O)(CO)CO/ M,OC[C@H](O)C(O)=C(O)[C@H](O)CO/ M,OC[C@@H](O)C(O)=C(O)[C@H](O)CO/ M,OCC(O)(CO)CO/ M,OC[C@@H](O)C(O)(CO)CO/ M,OCCO/ M,CO/ M,OC=CO/ M,OC=C(O)CO/ M,OC=C(O)[C@H](O)CO/ M,OCC(O)=C(O)CO/ M,OC=C(O)[C@H](O)[C@@H](O)CO/ M,OC=C(O)[C@H](O)[C@H](O)CO/ M,OC=C(O)C(O)(CO)CO/ M,OCC(O)=C(O)[C@H](O)CO/ M,OC=C(O)[C@](O)(CO)[C@@H](O)CO/ M,OC=C(O)[C@](O)(CO)[C@H](O)CO/ M,OC=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO/ M,OC=C(O)[C@H](O)[C@@H](O)[C@H](O)CO/ M,OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO/ M,OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO/ M,OC=C(O)[C@H](O)C(O)(CO)CO/ M,OCC(O)=C(O)[C@H](O)[C@@H](O)CO/ M,OCC(O)=C(O)[C@H](O)[C@H](O)CO/ M,OCC(O)=C(O)C(O)(CO)CO/ M,CaCl2/ M,
FRN051A,0.018760681166666668,0.0,0.0,0.009133063833333335,0.0,0.0,0.0012426191306524697,0.00029175103871550317,0.0,0.0001267757564918487,0.0007660852195857505,0.0,9.119396668751372e-05,0.0,0.0,0.0,0.0023141569736578656,0.0,0.0,0.0017725592147175104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002384777367562505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014187981832645876,0.006855963964494476,0.0028178173071198216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072571142219292045,0.0,0.0,0.0012727801406760657,0.0,0.0,0.0,0.0,0.0,0.0017706920744987862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030973260806008824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN051B,0.019567973617647057,0.0,0.0,0.009024492892156863,0.0,0.0,0.0012252303269230766,0.00036865688461538466,0.0,0.00013640857692307694,0.0007711868846153846,0.0,7.743211538461538e-05,0.0,0.0,0.0,0.002376021807692308,0.0,0.0,0.0018960489230769233,1.7139884615384613e-05,0.0,5.631192307692308e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0009115846923076922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002528866923076923,0.00895063373076923,0.003290445019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006877357596153846,0.0,0.0,0.0007103972307692309,0.0,0.0,0.0,0.0,0.0,0.0025168284423076922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201923076923076e-06,0.00045703523076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN055B,0.0807522181060606,0.0,0.0,0.01453150078787879,0.0,0.0,0.001621142724492636,0.0,0.009896435604342604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019523094626199998,0.0,0.0,0.0018850342783066814,3.58954163329386e-05,0.0,2.3256777947966658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0011634869611310916,5.689694988177905e-05,0.0008568392286997134,0.0,0.0039003557178035283,0.0,0.0,0.0,0.0,0.0036029255741204117,0.0007327111894737403,0.0025279676112069395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006771684696601091,0.0,0.0,9.451939814329967e-05,0.0,0.0,0.0,0.0,0.0,0.00034386479248520993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007192401165143892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN059A,0.010712792799999999,0.0,0.0,0.0083186688,0.0,0.0,0.0009887159053416817,5.3139646774083096e-05,0.0012900996933044744,0.0,0.0035284949368970856,0.0,0.0,0.0,0.0,0.0,0.001468412548545279,0.0,0.0,0.0016810433310348951,0.0005170231154281654,0.0003595762116261253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016130352760800979,0.0,0.0008855168370865673,0.0,0.0,0.0,0.0,0.0,0.0,0.0001264507242598342,0.003228873751323027,0.00023469472270211183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004916545205605908,0.0,0.0,0.001058712598231959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007214782599746568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN059B,0.011200928928571429,0.0,0.0,0.008447148404761904,0.0,0.0,0.0008181524005769567,1.2905008668300016e-05,0.0014336835104832729,0.0,0.0037398665676755195,0.0,0.0,0.0,0.0,0.0,0.001549494389508212,0.0,0.0,0.0018862760122999836,0.0004952096077416774,0.000350566814091611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014935311805204163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035606890264791146,0.00470262777434347,0.0002397617306927232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005418837183934301,0.0,0.0,0.0009830098865869364,0.0,0.0,0.0,0.0,0.0,0.0005492690358568789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010238621151628512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN060A,0.0116071956,0.0,0.0,0.00835086,0.0,0.0,0.0012601014694546288,5.852805329832853e-05,0.0018932489325791373,3.217810210819324e-05,0.004034116095341027,0.0,0.0,0.0,0.0,0.0,0.0017595740073393178,0.0,0.0,0.0021323491337054716,0.0004583245345623754,0.00024114794513186967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001767344661112649,0.0,0.0,0.0,0.0018933310313173045,0.0,0.0,0.0,0.0,0.0002857128541833457,0.0018373797794203057,0.00024712509192521197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006226262238191343,0.0,0.0,0.0009321781206614935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007779897222530414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN060B,0.01202257757142857,0.0,0.0,0.008344579238095238,0.0,0.0,0.0,0.0,0.0,0.0016670645019225044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033272397394592287,0.0,0.0,0.0020685081880860608,0.0002645708661917394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000552597300922847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026608537748842253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062230693685868125,0.0,0.0,0.0008685342767110495,0.0,0.0,0.0,0.0,0.0,0.0001655246049444994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.407228972829505e-06,4.488726167265396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN061A,0.0690338984,0.0,0.0,0.010724373300000001,0.0,0.0,0.0030981497747248504,0.00027117763999541923,0.006463892077488577,0.0,0.0,0.0,0.0,0.00038438255813124414,0.0,0.0,0.0019271257741132134,0.0,0.0,0.0012687564383821151,0.00016775295365524038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008762384769056338,0.0,0.002224928244187469,0.0,0.0012672370766516287,0.0,0.0,0.0,0.0,0.0007174964708660156,0.000831704558207501,0.0006446719290033505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004796150941949868,0.0,0.0,0.00043670770704459653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042370508264492755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN061B,0.0,0.0,0.0,0.0,0.0,0.0,0.0028111906312034882,0.00012827207410700292,0.00695504272612874,0.0,0.0,0.0,0.0,0.0003235545726071458,0.0,0.0,0.002288489532563558,0.0,0.0,0.0017216320120203503,8.429310664151001e-05,0.0,0.0,0.0,0.0,0.0,6.83012723410805e-06,0.0,0.0,0.0007735851997704674,2.703899378929691e-05,0.0008888002722804093,0.0,0.0029388440711405834,0.0,0.0,0.0,0.0,0.001237300381544538,0.0007385862792214908,0.001165189739009924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006521186142104446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020249042065132944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005468054769753145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
FRN062A,0.0,0.0,0.0,0.0,0.0,0.0,0.0025373659883777063,0.0005074632460363739,0.0054468047662461876,0.0,0.0,0.0,0.0,0.0002532031074143292,0.0,0.0,0.0019480889611816923,0.0,0.0,0.0014518959420221874,0.00021353080648343762,1.609370635562862e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001084224106463371,0.0,0.001576558081583579,0.0,0.001849486101988325,0.0,0.0,0.0,0.0,0.0006094326535830627,0.0008334747476458578,0.0008749243723007925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054573307108506195,0.0,0.0,0.0003808509992247042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005244254670007302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
