Experiment_code,Directory,Modulated_component,temperature/ oC,residence_time/ s,[NaOH]/ M,A[NaOH]/ M,per[NaOH]/ s,ph[NaOH]/ rad,[CaCl2]/ M,A[CaCl2]/ M,per[CaCl2]/ s,ph[CaCl2]/ rad,[C=O]/ M,A[C=O]/ M,per[C=O]/ s,ph[C=O]/ rad,[O=C(CO)CO]/ M,A[O=C(CO)CO]/ M,per[O=C(CO)CO]/ s,ph[O=C(CO)CO]/ rad,[OC1COC(O)CO1]/ M,A[OC1COC(O)CO1]/ M,per[OC1COC(O)CO1]/ s,ph[OC1COC(O)CO1]/ rad,[O=C(CO)[C@H](O)CO]/ M,A[O=C(CO)[C@H](O)CO]/ M,per[O=C(CO)[C@H](O)CO]/ s,ph[O=C(CO)[C@H](O)CO]/ rad,[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ M,A[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ M,per[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ s,ph[O=C[C@H](O)[C@H](O)[C@H](O)CO]/ rad,Reaction_entry
FRN051A,DATA/DATA_REPORTS/FRN051A,None,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FRN051B,DATA/DATA_REPORTS/FRN051B,O=C(CO)CO,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,960,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FRN055B,DATA/DATA_REPORTS/FRN055B,O=C(CO)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,120,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FRN059A,DATA/DATA_REPORTS/FRN059A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FRN059B,DATA/DATA_REPORTS/FRN059B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FRN060A,DATA/DATA_REPORTS/FRN060A,None,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
FRN060B,DATA/DATA_REPORTS/FRN060B,O=C(CO)CO,21,480,0.03,0,0,0,0.015,0,0,0,0.1,0,0,0,0.05,0.025,480,0,0,0,0,0,0,0,0,0,0,0,0,0,7
FRN061A,DATA/DATA_REPORTS/FRN061A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
FRN061B,DATA/DATA_REPORTS/FRN061B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0,9
FRN062A,DATA/DATA_REPORTS/FRN062A,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,120,0,0,0,0,0,0,0,0,0,0,0,0,0,10
FRN062B,DATA/DATA_REPORTS/FRN062B,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,240,0,0,0,0,0,0,0,0,0,0,0,0,0,11
FRN062C,DATA/DATA_REPORTS/FRN062C,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,360,0,0,0,0,0,0,0,0,0,0,0,0,0,12
FRN062D,DATA/DATA_REPORTS/FRN062D,O=C(CO)CO,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0.025,480,0,0,0,0,0,0,0,0,0,0,0,0,0,13
FRN063A,DATA/DATA_REPORTS/FRN063A,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
FRN063B,DATA/DATA_REPORTS/FRN063B,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
FRN063C,DATA/DATA_REPORTS/FRN063C,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
FRN063D,DATA/DATA_REPORTS/FRN063D,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
FRN063E,DATA/DATA_REPORTS/FRN063E,None,21,240,0.03,0,0,0,0.015,0,0,0,0.166,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
FRN067A,DATA/DATA_REPORTS/FRN067A,None,21,120,0.03,0,0,0,0.0015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
FRN067B,DATA/DATA_REPORTS/FRN067B,None,21,120,0.03,0,0,0,0.003,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
FRN067C,DATA/DATA_REPORTS/FRN067C,None,21,120,0.03,0,0,0,0.006,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
FRN067D,DATA/DATA_REPORTS/FRN067D,None,21,120,0.03,0,0,0,0.012,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
FRN067E,DATA/DATA_REPORTS/FRN067E,None,21,120,0.03,0,0,0,0.024,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
FRN067F,DATA/DATA_REPORTS/FRN067F,None,21,120,0.03,0,0,0,0.048,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
FRN067G,DATA/DATA_REPORTS/FRN067G,None,21,120,0.003,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
FRN067H,DATA/DATA_REPORTS/FRN067H,None,21,120,0.006,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
FRN067I,DATA/DATA_REPORTS/FRN067I,None,21,120,0.012,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
FRN067J,DATA/DATA_REPORTS/FRN067J,None,21,120,0.024,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
FRN067K,DATA/DATA_REPORTS/FRN067K,None,21,120,0.048,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
FRN067L,DATA/DATA_REPORTS/FRN067L,None,21,120,0.096,0,0,0,0.015,0,0,0,0.2,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
FRN071A,DATA/DATA_REPORTS/FRN071A,O=C[C@H](O)[C@H](O)[C@H](O)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,120,0,31
FRN071B,DATA/DATA_REPORTS/FRN071B,O=C[C@H](O)[C@H](O)[C@H](O)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,180,0,32
FRN071C,DATA/DATA_REPORTS/FRN071C,O=C[C@H](O)[C@H](O)[C@H](O)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,240,0,33
FRN071D,DATA/DATA_REPORTS/FRN071D,O=C[C@H](O)[C@H](O)[C@H](O)CO,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.025,300,0,34
FRN077A,DATA/DATA_REPORTS/FRN077A,OC1COC(O)CO1,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0.025,0.0125,120,0,0,0,0,0,0,0,0,0,35
FRN077B,DATA/DATA_REPORTS/FRN077B,OC1COC(O)CO1,21,120,0.03,0,0,0,0.015,0,0,0,0.2,0,0,0,0,0,0,0,0.025,0.0125,180,0,0,0,0,0,0,0,0,0,36
