series_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
Ca_OH_grid_series,FRN103,FRN104A,FRN104B,FRN105A,FRN105B,FRN088A,FRN088B,FRN089B,,,,,,,,,,,,,,,,,,,,,,,,,,
Example_CaOH_series,FRN103,FRN104A,FRN105A,FRN088B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHA_erythrulose_series,FRN100A,FRN100B,FRN100C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHA_conc_series,FRN099A,FRN099B,FRN099C,FRN099D,FRN099E,FRN099F,FRN099G,FRN107A,FRN107B,FRN107C,FRN107D,,,,,,,,,,,,,,,,,,,,,,,
Ca_OH_SS_grid,FRN097A,FRN097B,FRN097C,FRN097D,FRN097E,FRN097F,FRN097G,FRN097H,FRN097I,FRN097J,FRN097K,FRN097L,FRN097M,FRN097N,FRN097O,FRN098A,FRN098B,FRN098C,FRN098D,FRN098E,FRN098F,FRN098G,FRN098H,FRN098I,FRN098J,FRN103,FRN104A,FRN104B,FRN105A,FRN105B,FRN088A,FRN088B,FRN088C,FRN089B
DHA_glyc_series,FRN094A,FRN094B,FRN094C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formaldehyde_paper_series,FRN093A,FRN093B,FRN093C,FRN089A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residence_time_2_series,FRN092B,FRN089B,FRN091,FRN092A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Formaldehyde_2_series,FRN090B,FRN093A,FRN093B,FRN093C,FRN089A,FRN089B,FRN089C,FRN089D,,,,,,,,,,,,,,,,,,,,,,,,,,
Compare_DHA_form_glyc_series,FRN089A,FRN106A,FRN106B,FRN106C,FRN106D,FRN106E,FRN094A,FRN094B,FRN094C,,,,,,,,,,,,,,,,,,,,,,,,,
DHA_glyc_form_series,FRN089A,FRN106A,FRN106B,FRN106C,FRN106D,FRN106E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHA_glyc_ratio_series,FRN089A,FRN106C,FRN106D,FRN106E,FRN077D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaOH2_series,FRN088A,FRN088B,FRN088C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaOH2_series_2,FRN088A,FRN088B,FRN089A,FRN105A,FRN105B,FRN103,FRN104A,FRN104B,,,,,,,,,,,,,,,,,,,,,,,,,,
Erythrulose_series,FRN087A,FRN087B,FRN087C,FRN087D,FRN087E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initiator_series,FRN077D,FRN089A,FRN087E,FRN071D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyc_freq_series,FRN077A,FRN077B,FRN077C,FRN077D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHA_freq_series,FRN073A,FRN073B,FRN073C,FRN073D,FRN073E,FRN073F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribose_freq_series,FRN071A,FRN071B,FRN071C,FRN071D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemotype_network_examples,FRN104B,FRN103,FRN105A,FRN089A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteadyStateCaOH2,FRN097A,FRN097B,FRN097C,FRN097D,FRN097E,FRN097F,FRN097G,FRN097H,FRN097I,FRN097J,FRN097K,FRN097L,FRN097M,FRN097N,FRN097O,FRN098A,FRN098B,FRN098C,FRN098D,FRN098E,FRN098F,FRN098G,FRN098H,FRN098I,FRN098J,,,,,,,,,
DHA_series,FRN090A,FRN090B,FRN090C,FRN090D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature_series,FRN107A,FRN107B,FRN089B,FRN107C,FRN107D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
