Experiment number,Cannizzaro reaction,Formaldehyde aldol addition R R$_1$,Formaldehyde aldol addition R R$_3$,Formaldehyde aldol addition S R$_1$,Formaldehyde aldol addition S R$_2$,Formaldehyde aldol addition S R$_3$,Formaldehyde aldol addition S R$_4$,deprotonation R$_1$,deprotonation R$_2$,deprotonation R$_3$,deprotonation R$_4$,deprotonation R$_5$,enolate protonation R R$_1$,enolate protonation R R$_2$,enolate protonation R R$_3$,enolate protonation R R$_4$,enolate protonation R R$_6$,enolate protonation S R$_2$,enolate protonation S R$_3$,enolate protonation S R$_4$,enolate protonation S R$_6$,monosaccharide-enolate addition anti type 1 B,monosaccharide-enolate addition anti type 2 A,monosaccharide-enolate addition anti type 2 B,monosaccharide-enolate addition syn type 1 A,monosaccharide-enolate addition syn type 2 B,retroaldol R$_2$,
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.0,0.0,
58,0.25,0.2,0.0,0.0,0.3333333333333333,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0555555555555555,
59,0.5,0.2,0.0,0.25,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.1666666666666666,0.0,0.0,0.125,0.2,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666666,
60,0.25,0.4,0.5,0.25,0.3333333333333333,0.5,0.0,0.3333333333333333,0.1428571428571428,0.3333333333333333,0.25,0.0,0.25,0.4,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.3333333333333333,0.1666666666666666,0.25,
47,0.5,0.8,0.5,0.75,0.6666666666666666,0.5,0.0,0.4444444444444444,0.7142857142857143,0.3333333333333333,0.25,0.0,0.25,0.8,0.6666666666666666,0.25,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.1666666666666666,0.25,
48,0.5,0.8,0.5,1.0,0.3333333333333333,0.5,0.5,0.4444444444444444,0.7142857142857143,0.5,0.25,0.0,0.0,0.6,0.6666666666666666,0.25,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.1666666666666666,0.25,
49,0.5,0.8,0.0,0.75,0.3333333333333333,0.5,0.5,0.4444444444444444,0.4285714285714285,0.5,0.25,0.0,0.125,0.6,0.6666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.1666666666666666,0.2222222222222222,
50,0.5,0.8,0.5,0.75,0.3333333333333333,0.5,0.0,0.4444444444444444,0.4285714285714285,0.5,0.25,0.0,0.0,0.6,0.6666666666666666,0.25,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.1666666666666666,0.2222222222222222,
44,0.5,0.6,0.5,0.5,0.3333333333333333,0.5,0.0,0.4444444444444444,0.4285714285714285,0.3333333333333333,0.125,0.25,0.25,0.6,0.6666666666666666,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.2777777777777778,
45,0.5,0.6,0.5,0.25,0.3333333333333333,0.5,0.5,0.5555555555555556,0.4285714285714285,0.5,0.125,0.0,0.125,0.6,0.6666666666666666,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.3055555555555556,
102,0.5,0.4,0.5,0.5,0.3333333333333333,0.0,0.0,0.2222222222222222,0.2857142857142857,0.1666666666666666,0.125,0.0,0.125,0.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.1666666666666666,0.6666666666666666,0.1666666666666666,0.0833333333333333,
103,0.0,0.4,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.4285714285714285,0.3333333333333333,0.125,0.0,0.25,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.1666666666666666,0.1388888888888889,
99,0.0,0.2,0.5,0.5,0.3333333333333333,0.5,0.5,0.2222222222222222,0.2857142857142857,0.3333333333333333,0.125,0.0,0.25,0.4,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.5,0.0,0.3333333333333333,0.1666666666666666,0.1111111111111111,
100,0.5,0.8,1.0,0.5,0.3333333333333333,0.0,0.0,0.2222222222222222,0.5714285714285714,0.3333333333333333,0.375,0.0,0.0,0.6,0.3333333333333333,0.25,0.0,0.5,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.25,
101,0.0,0.2,0.0,0.25,0.3333333333333333,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.1666666666666666,0.0277777777777777,
