source,target
112,FRN071A
112,FRN071C
113,FRN067B
113,FRN067C
114,FRN087D
114,FRN087E
115,FRN077A
115,FRN077D
116,FRN097G
116,FRN097L
117,FRN097I
117,FRN097N
118,FRN077B
118,FRN077C
119,FRN097H
119,FRN097M
120,FRN087A
120,FRN087B
121,FRN098B
121,FRN098G
122,FRN098H
122,FRN098I
123,FRN104A
123,FRN104B
124,FRN071B
124,112
125,FRN067A
125,113
126,FRN067D
126,FRN067J
127,FRN089B
127,FRN089C
128,FRN098D
128,FRN098J
129,FRN107C
129,FRN107D
130,FRN067E
130,FRN067F
131,121
131,122
132,115
132,118
133,FRN087C
133,114
134,FRN098A
134,FRN098F
135,FRN097B
135,116
136,FRN097E
136,FRN097J
137,FRN098C
137,135
138,FRN106D
138,FRN106E
139,FRN067G
139,FRN067H
140,FRN071D
140,124
141,FRN097F
141,FRN097K
142,119
142,128
143,125
143,126
144,FRN089A
144,127
145,FRN107B
145,129
146,134
146,141
147,120
147,133
148,FRN097C
148,117
149,FRN106C
149,138
150,FRN097O
150,FRN098E
151,123
151,139
152,131
152,137
153,FRN099A
153,FRN099B
154,142
154,148
155,FRN067K
155,143
156,FRN088A
156,FRN107A
157,146
157,151
158,130
158,155
159,FRN103
159,152
160,FRN089D
160,144
161,145
161,156
162,FRN106A
162,FRN106B
163,136
163,150
164,FRN067I
164,157
165,FRN100A
165,FRN100B
166,FRN063D
166,FRN063E
167,FRN062C
167,FRN062D
168,154
168,159
169,FRN097A
169,164
170,FRN088B
170,161
171,FRN067L
171,158
172,FRN062B
172,167
173,132
173,162
174,FRN097D
174,163
175,169
175,171
176,FRN105A
176,168
177,FRN055B
177,FRN061A
178,FRN088C
178,170
179,160
179,178
180,149
180,174
181,FRN063A
181,FRN063B
182,166
182,172
183,176
183,180
184,FRN090A
184,FRN093A
185,FRN094A
185,FRN094B
186,FRN063C
186,182
187,147
187,173
188,FRN105B
188,183
189,FRN090B
189,FRN090C
190,FRN051A
190,FRN051B
191,FRN059A
191,FRN059B
192,175
192,188
193,153
193,187
194,179
194,193
195,FRN099F
195,FRN099G
196,177
196,192
197,181
197,186
198,165
198,184
199,FRN061B
199,FRN062A
200,FRN093B
200,198
201,FRN099C
201,196
202,FRN090D
202,189
203,140
203,194
204,FRN092A
204,FRN092B
205,201
205,203
206,FRN060A
206,191
207,FRN100C
207,200
208,185
208,207
209,FRN091
209,197
210,FRN093C
210,FRN099E
211,195
211,208
212,FRN060B
212,190
213,206
213,212
214,202
214,211
215,FRN099D
215,209
216,205
216,215
217,FRN094C
217,214
218,213
218,216
219,210
219,218
220,199
220,204
221,217
221,219
222,220
222,221
