,Cannizzaro reaction,Formaldehyde aldol addition R R$_1$,Formaldehyde aldol addition R R$_3$,Formaldehyde aldol addition R R$_4$,Formaldehyde aldol addition S R$_1$,Formaldehyde aldol addition S R$_2$,Formaldehyde aldol addition S R$_3$,Formaldehyde aldol addition S R$_4$,deprotonation R$_1$,deprotonation R$_2$,deprotonation R$_3$,deprotonation R$_4$,deprotonation R$_5$,deprotonation R$_6$,enolate protonation R R$_1$,enolate protonation R R$_2$,enolate protonation R R$_3$,enolate protonation R R$_4$,enolate protonation R R$_6$,enolate protonation S R$_2$,enolate protonation S R$_3$,enolate protonation S R$_4$,enolate protonation S R$_6$,monosaccharide-enolate addition anti type 1 A,monosaccharide-enolate addition anti type 1 B,monosaccharide-enolate addition anti type 2 A,monosaccharide-enolate addition anti type 2 B,monosaccharide-enolate addition syn type 1 A,monosaccharide-enolate addition syn type 2 B,retroaldol R$_2$,
FRN061B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.1388888888888889,
FRN062A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.08333333333333333,
FRN092A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.7142857142857143,0.6666666666666666,0.375,0.0,0.0,0.375,0.6,1.0,0.25,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,0.5,0.3333333333333333,0.0,0.25,
FRN092B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.42857142857142855,0.8333333333333334,0.125,0.0,0.0,0.375,0.4,1.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.16666666666666666,0.25,
FRN090D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,
FRN090B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,
FRN090C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.125,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.0,0.2222222222222222,
FRN094A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.25,0.4,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,
FRN094B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.2857142857142857,0.16666666666666666,0.25,0.0,0.0,0.25,0.4,0.0,0.25,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.5,0.16666666666666666,0.3333333333333333,0.5,0.2222222222222222,
FRN090A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,
